id_vimeo;date;jour_semaine;heure;type_yoga;niveau;date_heure_niveau;nom_kriya;manuel;page;pagr_fr;nom_meditation;manuel;page_mediation;page_fr_meditation;lien_facebook;lien_youtube;lien_vimeo;hd;mots_cles;lien_k-yoga.tv_fb;lien_k-yoga.tv_yt;lien_k-yoga.tv_vim;duree_totale;duree_totale_secondes;visionnage_live;nbre_live_apres_cours;percent_retention_cours;nbre_live_apres_relaxation;percent_retention_relaxation;nbre_live_fin;percent_retention_fin
;43905;7;9H30;KUNDALINI;TOUT NIVEAU;7 15/3 9H30 KUNDALINI TOUT NIVEAU;Kriya pour la résistance aux maladies;Manuel de formation;34;360;Boost your immune system;ReacHing Me in Me;45;;Https://www.facebook.com/SiriFateHYoga/videos/231486891578576/;;;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1532020;;;0,119444444;10320;35;26;0,742857143;25;0,714285714;20;0,571428571
401360976;43906;1;12H00;KUNDALINI;TOUT NIVEAU;1 16/3 12H00 KUNDALINI TOUT NIVEAU;Kriya pour la résistance aux maladies;Manuel de formation;34;360;Boost your immune system;ReacHing Me in Me;45;;Https://www.facebook.com/SiriFateHYoga/videos/910773956005659/;Https://youtu.be/JRnu3XFb3TU;Https://vimeo.com/401360976;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1632020;http://k-yoga.tv/yt-1632020;http://k-yoga.tv/vim-1632020;0,0625;5400;25;16;0,64;18;0,72;11;0,44
401387407;43906;1;17H00;KUNDALINI;TOUT NIVEAU;1 16/3 17H00 KUNDALINI TOUT NIVEAU;Folding and Unfolding of tHe Energy;Infinity and Me;33;;Removing Fear of tHe Future;Self Knowledge;26;;Https://www.facebook.com/SiriFateHYoga/videos/215474026480686/;Https://youtu.be/0TZdueW2Nlc;Https://vimeo.com/401387407;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1632020-2;http://k-yoga.tv/yt-1632020-2;http://k-yoga.tv/vim-1632020-2;0,056944444;4920;15;15;1;9;0,6;7;0,466666667
400925385;43907;2;12H00;KUNDALINI;TOUT NIVEAU;2 17/3 12H00 KUNDALINI TOUT NIVEAU;Surya Kriya;Manuel de formation;26;352;Ganpati Kriya Meditation;Manuel de Formation;94;420;Https://www.facebook.com/SiriFateHYoga/videos/666204944191822/;Https://youtu.be/LHuHU0b6WHQ;Https://vimeo.com/400925385;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1732020;http://k-yoga.tv/yt-1732020;http://k-yoga.tv/vim-1732020;0,058333333;5040;43;28;0,651162791;25;0,581395349;22;0,511627907
401644561;43908;3;19H25;KUNDALINI;TOUT NIVEAU;3 18/3 19H25 KUNDALINI TOUT NIVEAU;NabHi Kriya pour Prana Apana;Manuel de Formation;20;346;Immune System Booster : THe Inner Sun;Manuel de Formation;65;391;Https://www.facebook.com/SiriFateHYoga/videos/2581822992105832/;Https://youtu.be/SS7tkWUz2cA;Https://vimeo.com/401644561;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-1832020;http://k-yoga.tv/yt-1832020;http://k-yoga.tv/vim-1832020;0,063888889;5520;1213;887;0,731244847;768;0,633140973;520;0,4286892
401108534;43910;5;12H25;KUNDALINI;TOUT NIVEAU;5 20/3 12H25 KUNDALINI TOUT NIVEAU;CHamp Magnétique et Centre du Coeur;Manuel de Formation;43;369;Meditation for Emotional Balance;Manuel de formation;73;399;Https://www.facebook.com/SiriFateHYoga/videos/224219058958969/;Https://youtu.be/coGlH6HaqzA;Https://vimeo.com/401108534;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2032020;http://k-yoga.tv/yt-2032020;http://k-yoga.tv/vim-2032020;0,064583333;5580;636;456;0,716981132;413;0,649371069;359;0,564465409
400633208;43911;6;10H00;KUNDALINI;TOUT NIVEAU;6 21/3 10H00 KUNDALINI TOUT NIVEAU;Série de base pour l'énergie de la colonne vertébrale;Manuel de formation;13;339;Meditation for a calm Heart;Manuel de formation;69;395;Https://www.facebook.com/SiriFateHYoga/videos/659006401521835/;Https://youtu.be/NQ8sOSFM7j8;Https://vimeo.com/400633208;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2132020;http://k-yoga.tv/yt-2132020;http://k-yoga.tv/vim-2132020;0,059027778;5100;1208;1023;0,846854305;894;0,740066225;703;0,581953642
401109779;43912;7;11H01;KUNDALINI;TOUT NIVEAU;7 22/3 11H01 KUNDALINI TOUT NIVEAU;Eveillez-vous à vos 10 corps;Manuel de formation;11;337;BUD VIDEO LIVE - VOIR LIGNE SUIVANTE;;;;Https://www.facebook.com/SiriFateHYoga/videos/856662071426443/;Https://youtu.be/SHDg4iyaWKE;Https://vimeo.com/401109779;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2232020;http://k-yoga.tv/yt-2232020;http://k-yoga.tv/vim-2232020;0,052777778;4560;10434;8797;0,843109067;7514;0,720145678;;0
401115073;43912;7;11H01;KUNDALINI;TOUT NIVEAU;7 22/3 11H01 KUNDALINI TOUT NIVEAU;BUG VIDEAO LIVE - VOIR LIGNE PRÉCÉDENTE;;;;BreatH Axareness Exercice;Manuel de formation;60;386;Https://www.facebook.com/SiriFateHYoga/videos/203836474175629/;Https://youtu.be/HtDiVZNMqsE;Https://vimeo.com/401115073;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2232020-2;http://k-yoga.tv/yt-2232020-2;http://k-yoga.tv/vim-2232020-2;0,639583333;55260;;;;;;4500;0,431282346
401115929;43913;1;12H00;KUNDALINI;TOUT NIVEAU;1 23/3 12H00 KUNDALINI TOUT NIVEAU;Surya Namascar;Manuel de formation;10;336;Basic BreatH Series;Manuel de formation;59;385;Https://www.facebook.com/SiriFateHYoga/videos/816719428835927/;Https://youtu.be/u99iRzGzitc;Https://vimeo.com/401115929;;#KYOGA #YOGA #KUNDALINI;http://k-yoga.tv/fb-2332020;http://k-yoga.tv/yt-2332020;http://k-yoga.tv/vim-2332020;0,057592593;4976;1821;1603;0,880285557;1387;0,761669412;920;0,505216914
